ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Abyssibacter	0	0	0.014848	0	0	0	0.513468	0.595818	0.619456	0.104456	0.109522	0.049281	0	0	0
Acidithiobacillus	0	0	0	0.02781	0	1.014752	0	0.915762	0.088762	1.623232	0.256458	1.690623	0	0.018771	0
Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0.6309	0.060454	0	0.74016
Aegicerativicinus	10.4248	1.29678	2.29017	7.7026	1.97724	1.05953	0.283691	0.301482	0.219589	1.79603	0.290648	0.349129	2.28907	0.954233	0.401267
Aestuariivita	16.024242	67.27834	103.21489	308.7594	656.2629	842.3117	1602.6046	426.1485	990.0037	341.7488	365.4383	67.6911	1.749798	0.452191	0.930285
Afifella	0	0	0	0	0	0	0	0	0	1.25932	0	1.65243	0.615861	0.663737	1.0556
Agaribacillus	0	0	0	0	0	0	0.04853	0	0	0.297244	0.153946	10.2079	0	0.129365	0.104532
Ahrensia	1.48552	0.142343	0.874576	3.68046	2.2908	0.452324	4.85783	35.3047	16.3444	15.7796	15.5674	3.39955	30.4449	19.1135	16.0872
Algoriphagus	1929.9479	550.23025	1035.8701	2525.4541	2447.0637	1289.2198	1109.7978	1939.5823	2035.5002	515.034486	622.270551	1046.1749	74.720256	83.641121	69.508641
Alkalicaulis	0	0	0	0	0	0	0	0	0	3.88372	1.19913	1.0379	0.117861	0.127296	0.659395
Allomuricauda	41.822513	5.503918	7.867716	21.946423	6.679148	4.258835	0.603718	1.000888	0.814047	3.191765	1.05396	1.565337	35.351187	14.630893	70.626867
Aporhodopirellula	0	0	0.001962	0	0	0	0.026397	0	0	0.25752	0.062166	8.11427	0.008101	0.078075	0.101927
Aquamicrobium	0.064342	0	0	0	0	0.023718	0.381982	2.047199	1.506075	0.346961	0.437872	0.65373	1.13561	5.8314	12.29759
Aquibium	0.046626	0	0	0	0	0	0	0	0	29.744639	0.116792	0.191127	140.481278	7.672177	0.412192
Aquicoccus	0	0	0	0	0	0	0.04118	0	0	1.95115	0.721636	22.166	0.60694	1.2201	1.50692
Arenibacter	0	0	0	0	0	0	0.119397	0	0	0.522874	0.169768	26.3411	0.009397	0.290237	0.374526
Bremerella	0	0	0.101279	0	0.145041	0.121583	1.127722	1.471109	0.257485	503.60723	550.3197	283.36949	386.8213	644.56842	766.92091
Brevirhabdus	0	0	0	0	0	0	0	0	0	0.074598	0	0	0.445913	0.074209	0
CandidatusKapaibacterium	0.374012	0.078964	0.17264	3.32268	2.813501	0.669498	0	0.03901	0.056642	10.792468	4.820224	19.67007	6.191794	5.349984	24.83981
Carboxylicivirga	0	0	0	0	0	0	0.033513	0	0	0.102246	0.053635	8.92842	0.011722	0.012697	0.158596
Carideicomes	0	0	0	0	0	0	0	0	0	2.30185	0.832974	1.56749	0.288499	0.190767	0.569369
Chelativorans	0	0	0	0	0	0	0	0	0	0.177235	0	0	0.938711	0.066172	0
Christiangramia	0	0	0	0	0	0.011374	0	0	0	0	14.3065	4.88091	0.019078	0.503499	1.14005
Chryseosolibacter	0	0	0	0	0	0	0	0	0	0.165633	0.057793	12.6426	0	0.109721	0.046692
Cognatiyoonia	0	0	0	0	0	0	0	0	0	13.7716	0	3.71823	2.06916	0.089679	1.49083
Defluviimonas	0	0	0	0	0	0	0	0	0	2.97039	1.03488	27.9612	0.757666	1.63231	1.82431
Devosia	0	0	0	0	0	0	0	0	0	5.14391	0	7.10546	4.1228	4.7153	5.41281
Dinoroseobacter	61.01124	59.97064	121.56436	575.8165	354.2702	344.7767	323.9471	77.83207	85.12938	7.479873	8.82039	2.277609	0	0.473688	0.471954
Draconibacterium	0	0	0	0	0	0	0	0	0	0	0.176806	8.48992	0.012925	0.055983	0.01588
Eilatimonas	0	0	0	0	0	0	0	0	0	5.99388	1.06132	2.37617	0.469931	0.245463	1.27019
Ekhidna	0	0	0	0	0	0	0	0	0	0.318026	0.041061	8.59885	0	0.039558	0.134135
Erythrobacter/Porphyrobactergroup	0.043922	0	0.025869	0.221325	0	0	8.513144	12.242527	16.48377	5.039576	12.825906	25.824531	7.293573	3.030646	2.500219
Flagellatimonas	0	0	0	0	0	0	0.479228	0	0.430192	0.091991	0.141559	0	0	0	0
Flagellimonas	614.09059	87.75524	124.11776	392.88855	101.20257	67.786012	10.328776	22.748339	12.313241	72.915648	19.073793	13.133513	241.53397	106.210627	334.349021
Flaviramulus	13.7572	2.29069	2.6573	8.17943	2.02712	1.01677	0.247345	0.244374	0.6237	0.757672	0.352885	0.141514	2.66553	0.866847	0.916449
Fontisubflavum	0.863533	3.36462	5.47942	15.6477	32.7646	43.1853	78.2353	26.4436	47.6134	16.6661	18.8931	2.87337	0.174117	0	0.053584
Frigidibacter	0	0	0	0	0	0	0	0	0	2.86509	0.038065	5.42533	4.18813	6.43073	3.16249
Fulvivirga	0	0	0	0	0	0	0.024235	0	0	0.587275	0.18888	30.67057	0.033772	0.381517	0.159832
Glycocaulis	0	0	0	0.127506	0.05976	0.028184	0.322622	0	0.714386	94.67547	237.066794	48.45171	8.117232	5.272475	6.737945
Haliea	0	0	0	0	0	0	0	0	0	0.993347	0	0	0.734987	0.546748	0.718549
Halomonas	0	0	0	0.02612	0.132535	0.085997	0.11001	0	0	640.4374	27.20996	98.66062	539.958	105.45953	175.90576
Henriciella	0.185221	0	0.129449	0	0.009306	0	10.553163	21.219519	6.499536	45.152967	20.703143	10.575675	11.542877	8.634452	6.194208
Hydrogenophaga	0	0	0	0	0	0	0	0	0	2.29844	0.745006	22.9126	0.59429	1.12519	1.15212
Hyphobacterium	0.310248	0.274965	0.476559	0.883767	0.060983	0.031799	0	0	0	11.329105	0.289332	0.062681	1.307384	1.408018	6.883046
Hyphomonas	0	0	0	0	0	0	0	0	0	6.94804	1.864527	3.50343	0.637799	0.521374	1.564763
Ignavibacteriota	0.43087	0.115692	0.257843	4.03241	3.054305	0.952141	0	0	0.080294	12.633907	5.213467	20.44868	7.222694	5.494662	26.12429
Ilumatobacter	0	0	0	0	0	0	0	0.202884	0	0.500264	0.195581	0.293687	0.086141	0.155408	0.088073
Indioceanicola	0	0	0	0	0	0	0	0	0	5.59352	0.837688	2.26888	9.195297	0.489879	0.821562
Labrenzia	3.69513	0.407963	2.00982	6.15282	3.70899	0.676318	6.66732	43.6124	23.0262	18.5394	24.1515	4.93555	49.5032	29.3591	25.8585
Limnobacter	0.153284	0.034947	0.029879	0	0	0	0	0	0	0.071035	0	0.398848	0	0.035325	0.079966
Litoreibacter	3.07575	3.71089	5.36241	28.3796	17.23	12.3452	13.1772	3.45612	4.85529	0.636051	0.615908	0.148256	0	0.079115	0.044712
Mameliella	0	0	0	0	0	0	0	0	0	0.867436	0	0.36772	0.145111	0.098084	0.110875
Maribacter	10.794	1.13247	2.11991	7.18775	1.93398	1.16439	0.293503	0.091127	0.132682	1.12022	0.146511	0.158286	1.51627	0.862697	0.505222
Maricaulis	0	0	0	0	0	0	0	0	0	3.32681	1.15629	1.0633	0.347655	0.085041	0.717639
Marinibacterium	0	0	0	0	0	0	0	0	0	2.13981	0.103073	1.32035	0.24998	0.107319	0.178151
Marinicauda	0	0	0	0	0	0	0	0	0	22.52914	3.906663	8.09681	1.508185	1.246367	4.336624
Marinilabilia	0	0	0	0	0	0	0.031607	0	0	0.144576	0.050642	8.70074	0.022092	0.119665	0.122358
Marinobacter	1385.771407	2187.396952	1811.082851	118.67904	109.287689	159.363611	1.25283	1.65713	1.373253	0.076669	0.04594	0.159702	0.015855	0.059564	0
Marinoscillum	0	0.022037	0.047396	0	0.009645	0.0243	1.202111	0	0.069912	8.717832	3.194741	431.02854	0.715044	4.314457	4.903074
Maritimibacter	0	0	0	0	0	0	0	0	0	7.307706	0.711284	2.827482	0.669247	1.197248	0.592324
Marivirga	0	0	0.407735	0.106001	0.072101	0	0	0	0	0	540.2	224.58557	0.605182	27.27169	46.970925
Marivita	141.5791	14.73564	16.127	159.9835	101.2719	105.4839	37.97461	320.9587	91.3405	126.617651	22.112376	41.3781	5.854498	9.327563	15.308867
Martelella	0	0	0	0	0	0	0	0	0	2.91523	1.18663	24.9469	0.54957	1.49436	1.76443
Melioribacter	0	0	0	0	0	0	0	0	0	0	0	9.27639	0.015465	0.117153	0.075818
Mesorhizobium	1.164243	0	0.026228	0	0.010292	0	3.71577	14.629117	7.742366	3.334758	3.59073	2.190565	19.271954	48.518923	89.914788
Methyloceanibacter	0	0	0	0	0	0	0	0	0	0	0.334971	0	0.065336	0.503526	1.055391
